# wave	flux	error	model
# 
1.386839999999999918e+03 9.690069999999999517e-01 3.464600000000000318e-02 9.989642725897330822e-01
1.386869999999999891e+03 1.040079999999999893e+00 3.592589999999999673e-02 9.989916030322573137e-01
1.386900000000000091e+03 9.562249999999999917e-01 3.446060000000000095e-02 9.990180006366163878e-01
1.386930000000000064e+03 9.923840000000000439e-01 3.512450000000000294e-02 9.990434082347493527e-01
1.386960000000000036e+03 1.000110000000000054e+00 3.531560000000000255e-02 9.990677582014625413e-01
1.386990000000000009e+03 9.699659999999999949e-01 3.469839999999999730e-02 9.990909353561536754e-01
1.387019999999999982e+03 9.787519999999999554e-01 3.486759999999999859e-02 9.991127915045939778e-01
1.387049999999999955e+03 1.021120000000000028e+00 3.561620000000000064e-02 9.991332191362790605e-01
1.387079999999999927e+03 1.027320000000000011e+00 3.568620000000000125e-02 9.991522243487701571e-01
1.387109999999999900e+03 1.004070000000000018e+00 3.533189999999999942e-02 9.991699349529856722e-01
1.387140000000000100e+03 9.559239999999999959e-01 3.445829999999999727e-02 9.991865322939631477e-01
1.387170000000000073e+03 1.045330000000000092e+00 3.597729999999999678e-02 9.992021922672468248e-01
1.387200000000000045e+03 9.994229999999999503e-01 3.519909999999999706e-02 9.992170530961718145e-01
1.387230000000000018e+03 1.011900000000000022e+00 3.539160000000000222e-02 9.992312475003208849e-01
1.387259999999999991e+03 9.992510000000000003e-01 3.525009999999999949e-02 9.992449388541213562e-01
1.387289999999999964e+03 9.705070000000000086e-01 3.467239999999999905e-02 9.992583287524668956e-01
1.387319999999999936e+03 9.915779999999999594e-01 3.506270000000000220e-02 9.992716064963996780e-01
1.387349999999999909e+03 9.756479999999999597e-01 3.477600000000000136e-02 9.992849061456915427e-01
1.387380000000000109e+03 9.328140000000000320e-01 3.411399999999999849e-02 9.992983061420623869e-01
1.387410000000000082e+03 9.709999999999999742e-01 3.473419999999999980e-02 9.993118524579344131e-01
1.387440000000000055e+03 9.928129999999999455e-01 3.509450000000000069e-02 9.993255617859658768e-01
